timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-04,愛正会記念茨城福祉医療センター,水戸市元吉田町１８７２－１,茨城県水戸市元吉田町1872-1,,2023年1月27日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000001,社会福祉法人,社会福祉法人愛正会理事長横倉稔明,板橋 家頭夫,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']",na,na,na,"['院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置']",na,na,"['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",1.1|1|0.1,na,na,3.7|3|0.7,112.799,na,na,1,"[内科, 外科, 精神科, 小児科, リハビリテーション科, 歯科, 整形外科, 小児外科, 小児神経科, ]"
2023-09-04,総合病院水戸協同病院,水戸市宮町３－２－７,茨城県水戸市宮町三丁目2-7,,2023年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000003,厚生連,茨城県厚生農業協同組合連合会 代表理事理事長 酒井 義法,病院長 渡辺 重行,na,"['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置']",na,"['退院時共同指導', '救急搬送診療', '在宅患者訪問点滴注射管理指導', '訪問看護指示', '在宅患者訪問褥瘡管理指導']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,3|3|-,275,na,na,1,"[内科, 外科, リウマチ科, 皮膚科, 泌尿器科, 婦人科, 眼科, 耳鼻咽喉・頭頸部外科, リハビリテーション科, 放射線科, 救急科, 麻酔科, 歯科口腔外科, 呼吸器科, 消化器科, 循環器科, 神経内科, 整形外科, 形成外科, 脳神経外科, ]"
2023-09-04,医療法人社団協栄会大久保病院,水戸市石川４－４０４０－３２,茨城県水戸市石川四丁目4040-32,,2023年1月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000015,医療法人,医療法人社団協栄会,大久保秀紀,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療', '顎変形症の歯科矯正治療']",na,na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '選択可能な入院食の提供', '院内売店の設置']",na,"['在宅時医学総合管理（オンライン在宅管理に係るものに限る）', '施設入居時等医学総合管理', '訪問看護指示']","['訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",1|1|0,na,na,1|1|0,70.3,na,na,1,"[内科, 外科, 皮膚科, 泌尿器科, 眼科, リハビリテーション科, 麻酔科, 歯科, 消化器外科, 整形外科, 脳神経外科, ]"
2023-09-04,茨城県立あすなろの郷病院,水戸市杉崎町１４６０,茨城県水戸市杉崎町1460,,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000018,県,茨城県知事大井川和彦,原田勝利,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']",na,na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置']",na,na,na,2|-|2,na,na,1|1|-,39.4,na,na,1,"[内科, 外科, 精神科, 小児科, 皮膚科, 眼科, 耳鼻いんこう科, リハビリテーション科, 歯科, 神経内科, 整形外科, 脳神経外科, ]"
2023-09-04,独立行政法人国立病院機構水戸医療センター,東茨城郡茨城町桜の郷２８０番地,茨城県東茨城郡茨城町桜ﾉ郷280,,2022年12月05日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000030,独立行政法人,理事長 楠岡 英雄,米野 琢哉,na,"['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '唇顎口蓋裂治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['在宅患者訪問看護・指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",4.3|3|1.3,na,na,2|2|-,360.6,na,na,1,"[内科, 外科, 精神科, 小児科, 皮膚科, 泌尿器科, 産婦人科, 眼科, 耳鼻いんこう科, 歯科口腔外科, 呼吸器科, 消化器科, 循環器科, 神経内科, 整形外科, 形成外科, 脳神経外科, 心臓血管外科, ]"
2023-09-04,医療法人 鳳香会 石本病院,笠間市石井２０４７,茨城県笠間市石井2047,,2023年3月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000032,医療法人,医療法人鳳香会,中村 幸嗣,['歯科領域の一次診療'],na,na,na,"['院外処方', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能']",na,"['往診（終日往診可能以外）', '在宅患者訪問診療', '在宅時医学総合管理（オンライン在宅管理に係るものに限る）', '在宅患者訪問点滴注射管理指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|0,na,na,na,40,na,na,1,"[内科, 胃腸科外科, 歯科, 内視鏡外科, 呼吸器科, ]"
2023-09-04,茨城県立中央病院,笠間市鯉淵６５２８,茨城県笠間市鯉淵6528,,2023年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000033,県,茨城県知事,島居 徹,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '選択可能な入院食の提供', '院内売店の設置', '外来者用食堂の設置']",na,"['往診（終日対応することができるものに限る）', '救急搬送診療', '在宅患者訪問点滴注射管理指導', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|-,na,na,2.5|1|1.5,316,na,na,1,"[内科, 一般・消化器外科, 小児科, 皮膚科, 泌尿器科, 産婦人科, 眼科, 耳鼻咽喉・頭頸部外科, リハビリテーション科, 放射線診断科, 放射線治療科, 救急科, 麻酔科, 歯科口腔外科, 神経内科, 整形外科, 形成外科, 脳神経外科, 総合診療科, 血管外科, 消化器内科, 乳腺外科, 循環器内科, 呼吸器外科, 呼吸器内科, 循環器外科, 内分泌・糖尿病内科, 血液内科, 膠原病・リウマチ科, 腎臓内科, 腫瘍内科, ]"
2023-09-04,医療法人碧水会汐ヶ崎病院,水戸市大串町７１５番地,茨城県水戸市大串町715,,2023年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000043,医療法人,医療法人碧水会,高沢 彰,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能', '院内売店の設置']",na,na,na,0.2|-|0.2,na,na,na,na,na,na,1,"[内科, 精神科, 歯科, 心療内科, ]"
2023-09-04,医療法人藤慈会藤井病院,常陸太田市金井町３６７０,茨城県常陸太田市金井町3670,,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000056,医療法人,医療法人藤慈会,藤井俊宥,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '適時及び適温による食事の提供', '病床外での食事可能']",na,na,na,1.4|-|1.4,na,na,1|1|-,37.76,na,na,1,"[内科, 外科, リウマチ科, 皮膚科, 泌尿器科, 眼科, 耳鼻いんこう科, リハビリテーション科, 歯科, 歯科口腔外科, 呼吸器科, ]"
2023-09-04,社会医療法人 愛宣会 ひたち医療センター,日立市鮎川町２－８－１６,茨城県日立市鮎川町二丁目8-16,,2023年8月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/1080000063,医療法人,社会医療法人 愛宣会,加藤 貴史,['歯科領域の一次診療'],na,na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置', '適時及び適温による食事の提供', '病床外での食事可能']",na,"['在宅患者訪問診療', '在宅患者訪問リハビリテーション指導管理', '訪問看護指示']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|0,na,na,3|3|0,90.2,na,na,1,"[内科, 小児科, 泌尿器科, 歯科, 消化器内科, 神経内科, 整形外科, 形成外科, 脳神経外科, 消化器外科, ]"
